Cell,Parent Image
cell_01.czi,mouse 3479 section 1 image 1 #1
cell_02.czi,mouse 3479 section 1 image 1 #1
cell_03.czi,mouse 3479 section 1 image 1 #1
cell_04.czi,mouse 3479 section 1 image 1 #1
cell_05.czi,mouse 3479 section 1 image 1 #1
cell_06.czi,mouse 3479 section 1 image 1 #1
cell_07.czi,mouse 3479 section 3 image 1 #1
cell_08.czi,mouse 3479 section 3 image 1 #1
cell_09.czi,mouse 3479 section 3 image 1 #1
cell_10.czi,mouse 3479 section 3 image 1 #1
cell_11.czi,mouse 3479 section 3 image 1 #1
cell_12.czi,mouse 3479 section 3 image 2 #1
cell_13.czi,mouse 3479 section 3 image 2 #1
cell_14.czi,mouse 3479 section 3 image 2 #1
cell_15.czi,mouse 3479 section 3 image 2 #1
cell_16.czi,mouse 3479 section 3 image 2 #1
cell_17.czi,mouse 3479 section 3 image 2 #1
cell_18.czi,mouse 3479 section 3 image 2 #1
cell_19.czi,mouse 3479 section 3 image 2 #1
cell_20.czi,mouse 3479 section 3 image 2 #1
cell_21.czi,mouse 3479 section 3 image 2 #1
cell_22.czi,mouse 3479 section 3 image 2 #1
cell_23.czi,mouse 3479 section 3 image 2 #1
cell_24.czi,mouse 3479 section 3 image 2 #1
cell_25.czi,mouse 3479 section 3 image 2 #1
cell_26.czi,mouse 3479 section 3 image 2 #1
cell_27.czi,mouse 3479 section 5 image 1 #1
cell_28.czi,mouse 3479 section 5 image 1 #1
cell_29.czi,mouse 3479 section 5 image 1 #1
cell_30.czi,mouse 3479 section 5 image 1 #1
cell_31.czi,mouse 3479 section 5 image 1 #1
cell_32.czi,mouse 3479 section 5 image 1 #1
cell_33.czi,mouse 3479 section 5 image 1 #1
cell_34.czi,mouse 3479 section 5 image 1 #1
cell_35.czi,mouse 3479 section 5 image 1 #1
cell_36.czi,mouse 3479 section 5 image 1 #1
cell_37.czi,mouse 3479 section 5 image 1 #1
cell_38.czi,mouse 3479 section 5 image 1 #1
cell_39.czi,mouse 3479 section 5 image 1 #1
cell_40.czi,mouse 3479 section 5 image 1 #1
cell_41.czi,mouse 3479 section 5 image 1 #1
cell_42.czi,mouse 3481 section 2  image 1 #1
cell_43.czi,mouse 3481 section 2  image 1 #1
cell_44.czi,mouse 3481 section 2  image 1 #1
cell_45.czi,mouse 3481 section 2  image 1 #1
cell_46.czi,mouse 3481 section 2  image 1 #1
cell_47.czi,mouse 3481 section 3 image 1 #1
cell_48.czi,mouse 3481 section 3 image 1 #1
cell_49.czi,mouse 3481 section 3 image 1 #1
cell_50.czi,mouse 3481 section 3 image 1 #1
cell_51.czi,mouse 3481 section 3 image 1 #1
cell_52.czi,mouse 3481 section 3 image 1 #1
cell_53.czi,mouse 3604 section 1  image 1 #1
cell_54.czi,mouse 3604 section 1  image 1 #1
cell_55.czi,mouse 3604 section 1  image 1 #1
cell_56.czi,mouse 3604 section 1  image 1 #1
cell_57.czi,mouse 3604 section 1  image 1 #1
cell_58.czi,mouse 3604 section 1  image 1 #1
cell_59.czi,mouse 3604 section 1  image 1 #1
cell_60.czi,mouse 3604 section 1  image 1 #1
cell_61.czi,mouse 3604 section 1  image 1 #1
cell_62.czi,mouse 3604 section 1  image 1 #1
cell_63.czi,mouse 3604 section 3  image 1 #1
cell_64.czi,mouse 3604 section 3  image 1 #1
cell_65.czi,mouse 3604 section 3  image 1 #1
cell_66.czi,mouse 3604 section 3  image 1 #1
cell_67.czi,mouse 3604 section 3  image 1 #1
cell_68.czi,mouse 3604 section 3  image 1 #1
cell_69.czi,mouse 3604 section 3  image 1 #1
cell_70.czi,mouse 3604 section 3  image 1 #1
cell_71.czi,mouse 3604 section 3  image 1 #1
cell_72.czi,mouse 3604 section 3  image 1 #1
cell_73.czi,mouse 3682 section 2  image 1 #1
cell_74.czi,mouse 3682 section 5  image 1 #1
cell_75.czi,mouse 3682 section 5  image 1 #1
cell_76.czi,mouse 3682 section 5  image 1 #1
cell_77.czi,mouse 3682 section 3  image 1 #1
cell_78.czi,mouse 3682 section 2  image 2 #1
cell_79.czi,mouse 3682 section 2  image 2 #1
